item_number,url,title,brand,advertised_price,autoship_price,weight,desc,Prescription
295508,https://www.chewy.com/bute-phenylbutazone-generic/dp/204748,Bute Phenylbutazone (Generic) Injectable Solution 20% for Horses,Bute,$35.98,$34.18,,"Help soothe your equine's swelling and discomfort with Bute Injectable for Horses. This solution is made with a specially targeted ingredient—phenylbutazone—which helps to relieve swelling by blocking specific enzymes. It may be prescribed by your veterinarian to treat a variety of temporary inflammatory conditions, such as a pulled tendon, acute laminitis or joint problems. This form of Bute comes as an injectable to provide quick relief.",Rx
240951,https://www.chewy.com/derby-originals-reflective-horse-fly/dp/267433,Derby Originals Reflective Horse Fly Mask w/ Ear & Nose Fringe,Derby Originals,$19.99,,,"Give bugs the boot with the Derby Originals Reflective Horse Fly Mask w/ Ear & Nose Fringe. This fly mask with soft mesh ears for horses is designed to keep flies and other biting pests away from your horse’s eyes, face and ears. It is crafted to block up to 75% of harmful UV rays for protection from the sun and is ideal for sun sensitive, light colored or blue eyed horses. This horse fly mask with nose fringe is constructed using sturdy mesh materials and non-heat transferring fabric for a snug fit that stays in place. It is equipped with double hook and loop closures, reflective trim, fleece edging and eye darts for your amigo.",Non-Rx
211045,https://www.chewy.com/ultracruz-electrolyte-powder-horse/dp/237634,"UltraCruz Electrolyte Powder Horse Supplement, 5-lb bag",UltraCruz,$34.99,$33.24,,"Help your horse recover from a tough workout with UltraCruz Electrolyte Horse Supplement. This comprehensive blend of macro and micro electrolytes is crafted into a pellet containing sodium, magnesium, calcium and other trace minerals. It can help restore electrolyte levels in your hooved buddy after vigorous exercise or during the hot, summer months. Designed for horses who sweat excessively or do not drink enough water, it may also stimulate thirst while replenishing nutrients and supporting muscle development and recovery. Ideal for all breeds in any stage of life, your mane man will love this tasty pellet supplement.",Non-Rx
239072,https://www.chewy.com/tuffrider-sport-mesh-horse-fly-sheet/dp/265541,TuffRider Sport Mesh Horse Fly Sheet,TuffRider,$57.37,,,Remember to measure for the perfect fit. Help your horse tell flies to buzz off with the TuffRider Sport Mesh Horse Fly Sheet. This fly sheet is designed to keep pesky insects and biting bugs away from your equine companion. The polyester mesh fabric is strong and breathable and the silky-smooth shoulder lining is designed to provide superior comfort. It features a large tail flap to keep bugs away from hard-to-reach places. The double front buckle closures help keep it secure during horseplay and the low cross surcingles and removable leg straps are adjustable for the perfect fit. The reflecting properties of this sheet offer about 50% UV protection from the sun’s harmful and coat-fading rays. It’s also machine washable for easy cleaning. It’s a great accessory to help your pal fully enjoy his time outdoors!,Non-Rx
623894,https://www.chewy.com/doxycycline-hyclate-compounded-oral/dp/272954,"Doxycycline Hyclate Compounded Oral Oil Liquid for Dogs, Cats & Horses",Doxycycline Hyclate Compounded,$39.95,$37.95,,"Doxycycline Hyclate Compounded oral liquid is an oil-based preparation. Doxycycline Hyclate is a tetracycline antibiotic that may be prescribed for certain type of infections, including Lyme Disease, Rocky Mountain Spotted Fever, Leptospirosis, and others. Doxycycline Hyclate Compounded oral liquid is made specifically for your pet.",Rx
242690,https://www.chewy.com/bimeda-bimectin-paste-187-horse/dp/269177,"Bimeda Bimectin Paste 1.87% Horse Supplement, 0.21-oz tube",Bimeda,$7.99,$7.59,0.80 ounces,"For use in animals only. Warning: FDA HAS NOT APPROVED Ivermectin for preventing or treating COVID-19 in humans. Help your horse combat pesky parasites with Bimeda Bimectin Paste 1.87% Horse Supplement. This easy-to-feed paste helps treat and control a wide variety of parasites in horses including large adult strongyles, pinworms, adult hairworms, large-mouth adult stomach worms, adult threadworms, cutaneous third-stage larvae and so many more. It even helps treat dermatitis caused by neck threadworm microfilariae. This formula comes in a doseable syringe and has a delicious apple flavoring that your neighing neighbor will love!Animal ivermectin products are very different from those approved for humans. Use of animal ivermectin for the prevention or treatment of COVID-19 in humans is dangerous. Click here for more information about Ivermectin and COVID-19.",Non-Rx
106291,https://www.chewy.com/horsemens-pride-all-natural-himalayan/dp/133725,Horsemen's Pride All-Natural Himalayan Salt on a Rope Salt Block Horse Treat,Horsemen's Pride,$10.95,,4.4 pounds,"Horsemen's Pride Salt on a Rope Horse Treat helps reduce boredom while giving your horse the nutrients she needs. This horse treat features pure Himalayan salt that is incredibly dense to resist breakage from biting, making it last much longer than softer salt snacks. This beneficial treat helps your horse meet her sodium and chloride requirements for overall health—important year round, but especially when the weather warms up. Horsemen's Pride Salt on a Rope Horse Treat will keep your galloping friend healthy, happy and satisfied.",Non-Rx
296410,https://www.chewy.com/pyranha-wipe-n-spray-fly-protection/dp/178129,Pyranha Wipe N' Spray Fly Protection Horse Spray,Pyranha,$42.90,$40.76,,"Help your horse graze in peace with Pyranha’s Wipe N’ Spray Fly Protection. This easy-to-use horse spray has a classic citronella scent and a pyrethrum base—a plant from the daisy family. It is formulated to kill and repel a variety of flies, mosquitoes and gnats, all while conditioning your horse’s coat with a high-shine finish when brushed out. Your pal can get the protection she needs with only one to two ounces per head per day. This protective solution comes available in both a spray bottle and a gallon jug, so you can either apply it as a mist or use a cloth!",Non-Rx
325735,https://www.chewy.com/tickcheck-tick-remover-value-3-pack/dp/352004,"TickCheck Tick Remover Value, 3-pack",TickCheck,$4.90,,,"Keep yourself and your paw-tner tick-free with a TickCheck Tick Remover Value. Designed for convenience, the included tick remover tools are a simple, low-cost method for removing ticks of any size from humans, doggos, cats and other furry friends. The thin plastic tip is ideal for removing ticks embedded under thick fur. What’s more, the tools come with a pocket-sized tick identification card with instructions for proper tick removal, as well as a resealable, plastic storage bag.",Non-Rx
198560,https://www.chewy.com/finish-line-apple-day-electrolyte/dp/225188,Finish Line Apple-A-Day Electrolyte Apple Flavor Powder Horse Supplement,Finish Line,$15.00,$14.25,5 pounds,"Because you don’t have time to horse around when it comes to palatability,  Finish Line Apple-A-Day Electrolyte Horse Supplement is apple-flavored to appeal to even the most finicky eater. This formula helps to replace the electrolytes and trace minerals that power your horse’s nerve and muscle function and support hydration. Your horse loses electrolyte salts through daily activities and exercise, and replenishing them is as easy as top dressing his feed with this supplement. This electrolyte contains no sugar, which makes it healthier for your horse and also suitable for the bordering-on-overweight easy keeper or for insulin-resistant horses and ponies. Plus, because this product also contains no artificial colors or fillers, you can feed less of it than other similar products, so it lasts longer to help you save money.",Non-Rx
154147,https://www.chewy.com/panacur-equine-paste-10-horse/dp/180915,"Panacur Equine Paste 10% Horse Dewormer, 25g",Panacur,$10.99,,,"Help your equine feel better with Panacur Paste for Horses. This gel is prescribed to help control bloodworm infestations—specifically large and small strongylus, pinworms and roundworms. It may even help during the third stage of small strongylus, if used early enough. It's safe for horses of all ages and sizes, plus comes in a unique apple-cinnamon flavor that makes administration easy—and even enjoyable—for your horse.",Non-Rx
294843,https://www.chewy.com/animed-biotin-100-hoof-health-powder/dp/135321,AniMed Biotin 100 Hoof Health Powder Farm Animal & Horse Supplement,AniMed,$38.97,$37.02,,"AniMed Biotin 100 Powdered Horse Supplement is a water-soluble formula that contains high concentrated levels of d-Biotin. Along with fats and carbohydrates, this supplement will help metabolize protein, a nutrient vital for normal hoof quality and growth. Made in the USA, this easy-to-feed top dress powder comes with a convenient enclosed scoop.",Non-Rx
271686,https://www.chewy.com/cox-vet-lab-gastroade-pellets-horse/dp/298106,Cox Vet Lab Gastroade Pellets Horse Supplement,Cox Vet Lab,$30.95,$29.40,9 pounds,"Providing horse parents with a new approach to treating gastric distress, Cox Vet Lab Gastroade Pellets Horse Supplement helps support a healthy digestive system. If your horse is struggling with gastric issues, he will love the soothing feeling of aloe vera and kaolin offered in Cox Vet Lab Gastroade Pellets Horse Supplement, as it works to help heal his stomach lining. Rich in calcium and the alfalfa taste that horses love, your equine friend’s GI tract will thank you.",Non-Rx
193239,https://www.chewy.com/vitamin-b12-generic-injectable/dp/219871,"Vitamin B12 (Generic) Injectable Solution, 1000-mcg/mL",Vitamin B12,$5.49,$5.22,,"Vitamin B12 (cyanocobalamin) is a supplement commonly used to treat vitamin B12 deficiencies in animals with gastrointestinal disease. Prescribed by a veterinarian, this injectable solution is used with dogs, cats and horses.",Rx
254056,https://www.chewy.com/terramycin-ophthalmic-ointment-dogs/dp/179180,"Terramycin Ophthalmic Ointment for Dogs, Cats & Horses, 3.5-g",Terramycin,$51.98,$49.38,,,Non-Rx
190378,https://www.chewy.com/cowboy-magic-super-bodyshine-pet/dp/217027,Cowboy Magic Super Bodyshine Pet Spray,Cowboy Magic,$17.99,$17.09,2 pounds,"Treat your horse like the star she is with Cowboy Magic Super Bodyshine Pet Spray. Your horse, cat or dog can benefit from this quick drying, concentrated formula that helps repel show ring dust while reflecting a full spectrum of light for optimal shine. The pros from Cowboy Magic even added aloe vera to strengthen and condition hair and skin. Reduce the number of trips to the wash rack with a stick-free spray that’ll have your girl trotting in style!",Non-Rx
203865,https://www.chewy.com/stride-animal-health-turbo-mag-bcaa/dp/230481,"Stride Animal Health Turbo Mag BCAA Hydration Powder Horse Supplement, 5-lb tub",Stride Animal Health,$53.68,$51.00,7 pounds,"Help your horse stay hydrated and healthy with Stride Animal Health Turbo Mag BCAA Horse Supplement. This robust supplement contains antioxidants, branched chain amino acids (BCAAs), electrolytes, vitamins and minerals designed to improve your horse’s hydration levels, immune function, stamina and stress resistance. BCAAs provide extra support for horses who experience soreness during muscle recovery. Plus, Turbo-Mag BCAA can effectively help horses who have difficulty or loss of sweating, a history of impaction colic, struggle to perform in hot or humid conditions, or consume less water in times of stress.",Non-Rx
100812,https://www.chewy.com/mushers-secret-paw-protection-natural/dp/128333,Musher's Secret Paw Protection Natural Dog Wax,Musher's Secret,$15.99,,,"Musher's Secret Paw Protection Natural Dog Wax provides the ultimate paw protection in any season without the need for uncomfortable dog boots. Your pup will be able to walk without hurting his paws on icy or hot sidewalks, sandy beaches, hard pavement or snow-filled walkways. Musher’s Secret forms a breathable, dense barrier to protect your dog’s paws from the elements in even the most extreme weather conditions. That means no more irritating sand, ice or snow between the paws or stuck to the furry paw pads. This moisturizing formula is a blend of 100% pure natural waxes, including white and yellow beeswax and vitamin E that not only protects but also soothes cracked pads and paws.",Non-Rx
106173,https://www.chewy.com/nutramax-cosequin-asu-powder-joint/dp/133606,Nutramax Cosequin ASU Powder Joint Health Supplement for Horses,Nutramax,$139.99,$132.99,2.9 pounds,"Cosequin ASU is veterinarian formulated with avocado/soybean unsaponifiables (ASU), glucosamine, chondroitin sulfate, methylsulfonylmethane (MSM), and boswellia serrata extract to provide joint health support for equine athletes regardless of discipline or performance level. When performance matters, choose Cosequin.",Non-Rx
294549,https://www.chewy.com/quest-plus-gel-dewormer-boticide/dp/264388,"QUEST PLUS Gel Dewormer & Boticide for Horses & Ponies, 0.5-oz syringe",QUEST,$71.96,$68.36,,"With QUEST PLUS Gel Moxidectin/Praziquantel Adult Horse Dewormer, you can easily treat your horse for a variety of parasites with a single dose. This broad-spectrum dewormer is effective against tapeworms, encysted small strongyle larvae and bots, large strongyles, roundworms, pinworms, hairworms and stomach worms. The unique gel formula dissolves on your horse’s tongue to make deworming easier for you both. This dewormer is approved for use in breeding mares and stallions. Each syringe treats a horse up to 1,500 pounds and contains the active ingredients moxidectin and praziquntel.",Non-Rx
125960,https://www.chewy.com/andover-healthcare-coflex-vet-horse/dp/153065,"Andover Healthcare CoFlex Vet Horse, Dog & Cat Bandage, 4-in",Andover Healthcare,$3.11,$2.95,,"Protect your pony’s scrapes, cuts and bruises while they heal using the Andover Healthcare CoFlex Vet Equine Bandage. This premium, self-adhering cohesive bandage is made using woven fabric base material, linear elastic yarns and high-quality latex cohesive. Linear elastic yarns deliver consistent compression without constricting, moving or falling off over time. With superior adhesion, this bandage is sweat and water-resistant and works well even in cold weather, yet is still easy to remove and won’t stick to skin or fur. Convenient and easy to use, it can be applied in a continuous motion. Like all Andover products, this bandage is made in the USA and comes in a variety of colors.",Non-Rx
106290,https://www.chewy.com/horsemens-pride-all-natural-himalayan/dp/133726,Horsemen's Pride All-Natural Himalayan Salt on a Rope Salt Block Horse Treat,Horsemen's Pride,$7.27,,2.2 pounds,"Horsemen's Pride Salt on a Rope Horse Treat helps reduce boredom while giving your horse the nutrients she needs. This horse treat features pure Himalayan salt that is incredibly dense to resist breakage from biting, making it last much longer than softer salt snacks. This beneficial treat helps your horse meet her sodium and chloride requirements for overall health—important year round, but especially when the weather warms up. Horsemen's Pride Salt on a Rope Horse Treat will keep your galloping friend healthy, happy and satisfied.",Non-Rx
295002,https://www.chewy.com/absorbine-flys-x-ready-to-use-horse/dp/226115,Absorbine Flys-X Ready To Use Horse & Livestock Insecticide,Absorbine,$31.47,$29.90,,"Shoo, flies! Help ward off flies and other pests with this livestock spray. A water-based formula, Flys-X Ready To Use Livestock Insecticide contains pyrethrin—a botanical insecticide that kills a variety of nuisances like mosquitoes, gnats and blood-sucking lice. Formulated for hobby farmers, it can be used on many different animals such as horses, sheep, pigs and dogs.",Non-Rx
203911,https://www.chewy.com/kentucky-equine-research-restore-sr/dp/230526,"Kentucky Equine Research Restore SR Slow-Release Electrolyte Powder Horse Supplement, 9.9-lb bucket",Kentucky Equine Research,$65.94,$62.64,9.9 pounds,"Designed for maximum effectiveness and absorption, the Kentucky Equine Research Restore SR Slow-release Electrolyte Horse Supplement slowly releases electrolytes over time to support your horse’s health. While concentrated electrolytes are partially absorbed, they’re also partially flushed out. This slow-release delivery supports full absorption and use of the electrolytes by your horse’s body. This formula includes sodium, chloride, potassium and magnesium to replenish those key electrolytes that your horse can lose through sweat. By supporting your horse with the electrolytes his body needs to function, you may help to reduce the risk of issues like dehydration, muscular weakness, overheating, fatigue and poor performance. This formula is sugar-free, so you’re giving your horse only what he needs and nothing more. It also means this supplement is suitable for horses with metabolic issues.",Non-Rx
176625,https://www.chewy.com/altren-altrenogest-solution-horses/dp/203310,Altren (Altrenogest) Solution for Horses,Altren,$31.99,$30.39,,"Altren (Altrenogest) is use to control estrus in mares to maximize breeding efficiency. Altren can help reduce moodiness and temperament changes due to estrus. May also be used to keep your mare out of heat. Provides safe, effective suppression of estrus in mares — 95% effective after 3 days of treatment.",Rx
